id;name;descricao;texto_norte;texto_norte_imagem;texto_nordeste;texto_nordeste_imagem;texto_sul;texto_sul_imagem;texto_sudeste;texto_sudeste_imagem;texto_centro_oeste;texto_centro_oeste_imagem;enviado;texto_brasil;texto_brasil_imagem;created;updated
1;Florida;mission-critical;platforms plum Implementation;Metal grow;infrastructures;zero tolerance;withdrawal American Samoa;systems;program;Christmas Island;ROI Licensed Plastic Computer;Plastic payment;false;Western Sahara;PNG;2020-07-07T13:06:33;2020-07-07T20:46:10
2;Streets;generate Assistant Health;Handcrafted Concrete Mouse Beauty;transmitting navigating program;Investment Account local Licensed;turn-key generating;Open-architected;Berkshire Corporate;content;local area network;application local area network;French Guiana;false;HDD Qatari Rial synergize;Planner backing up;2020-07-07T18:00:29;2020-07-07T22:44:29
3;frame needs-based AGP;Cambridgeshire Cotton;analyzing Tools;digital virtual payment;Metal website card;Soft transmitting;Haven;out-of-the-box;alliance robust alliance;seamless Minnesota;Tuna Licensed Cotton Hat Concrete;Facilitator;true;hacking system;array Planner;2020-07-07T16:13:25;2020-07-07T16:29:10
4;redundant Generic Mobility;Product Cotton;Garden infrastructures;SMTP;system;product;programming Alabama;Zambian Kwacha;Berkshire;Group AGP Plaza;User-centric Plastic;Corporate asynchronous Minnesota;true;envisioneer;moderator Strategist Canadian Dollar;2020-07-07T15:27:00;2020-07-07T07:18:25
5;Sports Tennessee;service-desk;District iterate Buckinghamshire;Lead;architectures;payment Mouse;digital Progressive;digital;Savings Account Jewelery;Dynamic;driver;Books paradigms invoice;false;maroon;Dominican Republic initiative microchip;2020-07-07T11:21:21;2020-07-07T12:18:41
6;Corporate;Avon Berkshire withdrawal;Configuration;China out-of-the-box;XSS copy Buckinghamshire;convergence Automotive;Home Loan Account Incredible;Somali Shilling Configurable;Personal Loan Account;Soft Strategist Credit Card Account;back-end Ergonomic Frozen Chair;Chicken Berkshire Supervisor;true;Keyboard;Wooden teal;2020-07-07T05:41:31;2020-07-07T00:48:49
7;Internal Health;Triple-buffered Metal JBOD;navigate Personal Loan Account Montenegro;national Buckinghamshire Concrete;eco-centric;Specialist;sky blue;Romania withdrawal Web;Canyon;collaborative;indexing calculate Borders;Facilitator;true;Paradigm Factors Checking Account;Practical Frozen Car;2020-07-07T05:38:53;2020-07-07T23:00:50
8;Mouse asynchronous;Home Loan Account matrix circuit;Grocery;out-of-the-box SMTP;Savings Account;Configuration multimedia;index cyan Cloned;Rial Omani auxiliary Berkshire;Expanded;Burgs;connect;Investment Account mindshare Supervisor;false;Chair Rustic Fresh Car Concrete;Investment Account;2020-07-07T17:01:49;2020-07-07T04:06:43
9;paradigms;Investment Account Nepal Sleek Concrete Shirt;database;Grocery Frozen process improvement;composite Frozen Clothing;implement synthesize Cotton;Delaware;Estates e-business Associate;microchip;North Carolina rich;implement Slovakia (Slovak Republic) SSL;Gorgeous Up-sized;false;Principal neutral;Borders;2020-07-07T12:52:54;2020-07-07T15:57:45
10;convergence Fantastic Cotton Chips;Intelligent Soft Soap input Representative;compress Cheese Wooden;Pizza quantifying Brand;connecting generating;relationships Ohio SSL;Avon Personal Loan Account Cotton;Norwegian Krone Home Loan Account Center;engineer Investment Account Mobility;violet;holistic;Digitized info-mediaries grow;true;Awesome multimedia;utilize;2020-07-07T08:37:03;2020-07-07T01:58:53
